identifiant;ecole;gender;age;poids;camsa_skill_score1;camsa_time1;camsa_skill_score2;camsa_time2;plank_time;pacer_lap_distance;pacer_laps;pa_guideline;crf_means;ms_means;sports_skill;pa_is;pa_is_also;improve;increase;when_cooling_down;heart_rate;csappa1;csappa2;csappa3;csappa4;csappa5;csappa6;why_active1;why_active2;why_active3;feelings_about_pa1;feelings_about_pa2;feelings_about_pa3;self_report_pa;non_wear_time1;non_wear_time2;non_wear_time3;non_wear_time4;non_wear_time5;non_wear_time6;non_wear_time7;steps1;steps2;steps3;steps4;steps5;steps6;steps7;time_on1;time_on2;time_on3;time_on4;time_on5;time_on6;time_on7;time_off1;time_off2;time_off3;time_off4;time_off5;time_off6;time_off7;pacer_laps_20m;pacer_score;pacer_interpretation;plank_score;plank_interpretation;camsa_time_score1;camsa_time_score2;camsa_skill_time_score1;camsa_skill_time_score2;camsa_score;camsa_interpretation;pc_score;pc_interpretation;pc_status;valid_days;step_average;step_score;step_interpretation;self_report_pa_score;db_score;db_interpretation;db_status;predilection_score;adequacy_score;intrinsic_motivation_score;pa_competence_score;mc_score;mc_interpretation;mc_status;pa_guideline_score;crf_means_score;ms_means_score;sports_skill_score;fill_in_the_blanks_score;ku_score;ku_interpretation;ku_status;capl_score;capl_interpretation;capl_status
2;JEAN PIAGET;boy;10;NA;11;13;8;13;65;20;68;3;2;1;3;7;1;3;8;2;4;3;1;3;2;3;2;4;5;5;5;4;4;3;15,11666666666667;23,9500000000000;13,33333333333333;23,90000000000000;13,68333333333333;23,9833333333333;15,1500000000000;8408;5;8999;21;10429;0;7943;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;68;10;excelling;5;progressing;14;14;25;22;8,92857142857143;excelling;22,5;achieving;complete;4;8945;10;progressing;2;12;progressing;complete;7,5;6,1;7,0;6,5;27,1;excelling;complete;1;1;1;0;6;9;excelling;complete;70,6000000000000;achieving;complete
3;JEAN PIAGET;boy;10;NA;9;17;8;19;33;20;32;3;3;1;3;1;7;3;8;2;4;3;2;3;1;3;1;5;5;5;3;2;4;6;7,60000000000000;16,6000000000000;13,20000000000000;11,63333333333333;12,83333333333333;23,9500000000000;16,1833333333333;11693;1311;10680;9901;3736;1;3425;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;32;6;achieving;2;progressing;10;8;19;16;6,78571428571429;progressing;12,0;beginning;complete;6;6791;6;beginning;5;11;progressing;complete;7,5;6,8;7,5;4,5;26,3;excelling;complete;1;0;1;0;6;8;achieving;complete;57,3000000000000;progressing;complete
4;JEAN PIAGET;boy;11;NA;12;21;11;16;55;20;40;3;2;1;3;1;7;3;8;2;4;3;2;4;2;4;4;5;4;4;2;1;2;5;19,25000000000000;19,7833333333333;14,26666666666667;22,75000000000000;20,93333333333333;22,8166666666667;18,9333333333333;688;3119;7408;52;16;193;1447;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;40;8;achieving;4;progressing;6;11;18;22;7,85714285714286;progressing;18,0;progressing;complete;3;4846;3;beginning;4;7;beginning;complete;6,1;4,8;6,5;2,5;19,9;progressing;complete;1;1;1;0;6;9;excelling;complete;53,9000000000000;progressing;complete
6;JEAN PIAGET;boy;10;NA;14;14;14;13;92;20;73;3;2;1;4;1;7;3;8;2;4;3;2;3;1;3;2;4;4;4;5;4;5;6;10,70000000000000;12,4500000000000;12,20000000000000;10,55000000000000;21,11666666666667;12,7833333333333;20,8000000000000;13182;3276;10716;12387;1497;4724;3045;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;73;10;excelling;8;achieving;13;14;27;28;10,00000000000000;excelling;28,0;excelling;complete;7;6975;6;beginning;5;11;progressing;complete;7,5;6,1;6,0;7,0;26,6;excelling;complete;1;1;1;1;6;10;excelling;complete;75,6000000000000;achieving;complete
14;JEAN PIAGET;girl;11;NA;11;18;10;16;54;20;15;2;2;1;4;1;7;3;8;2;4;3;4;3;2;3;1;2;4;4;3;3;4;3;8,56666666666667;12,9166666666667;13,23333333333333;23,95000000000000;19,28333333333333;13,6333333333333;NA;9350;5898;3712;0;1713;2209;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;15;3;progressing;4;progressing;9;11;20;21;7,50000000000000;progressing;10,5;beginning;complete;5;4576;3;beginning;2;5;beginning;complete;7,5;5,5;5,0;5,0;23,0;achieving;complete;0;1;1;1;6;9;excelling;complete;47,5000000000000;beginning;complete
21;JEAN PIAGET;boy;10;NA;11;16;10;15;67;20;50;3;2;1;3;1;7;8;3;2;4;4;3;2;2;3;2;3;4;4;4;3;3;3;12,35000000000000;11,3333333333333;8,00000000000000;23,58333333333333;13,08333333333333;NA;NA;5424;8622;11401;409;9374;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;50;10;excelling;5;progressing;11;12;22;22;7,85714285714286;progressing;22,5;achieving;complete;4;8705;10;progressing;2;12;progressing;complete;5,5;4,2;5,5;5,0;20,2;progressing;complete;1;1;1;0;4;7;progressing;complete;61,7000000000000;progressing;complete
22;JEAN PIAGET;boy;10;NA;11;21;9;16;42;20;28;2;3;4;3;3;7;8;4;2;1;4;2;3;2;4;2;5;4;5;4;3;5;1;11,26666666666667;10,7500000000000;9,98333333333333;9,38333333333333;11,00000000000000;NA;NA;4409;6640;8175;7220;3183;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;28;5;progressing;3;progressing;6;11;17;20;7,14285714285714;progressing;12,0;beginning;complete;5;5925;4;beginning;0;4;beginning;complete;6,1;5,4;7,0;6,0;24,5;achieving;complete;0;0;0;0;2;2;beginning;complete;42,5000000000000;beginning;complete
23;JEAN PIAGET;girl;10;NA;13;18;13;17;48;20;35;1;4;2;4;1;7;3;8;2;4;3;2;3;2;3;1;4;5;5;3;2;4;3;13,85000000000000;11,7666666666667;12,73333333333333;12,86666666666667;18,13333333333333;NA;NA;4100;11349;15006;5083;9701;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;35;7;excelling;3;progressing;9;10;22;23;8,21428571428572;achieving;15,0;progressing;complete;5;9048;11;progressing;2;13;progressing;complete;7,5;6,1;7,0;4,5;25,1;excelling;complete;0;0;0;1;6;7;progressing;complete;60,1000000000000;progressing;complete
24;JEAN PIAGET;girl;11;NA;14;15;13;15;78;20;72;3;2;1;3;8;7;3;4;2;1;2;1;3;1;3;2;4;4;5;4;4;5;5;17,41666666666667;11,7833333333333;9,60000000000000;13,03333333333333;16,53333333333333;23,9666666666667;NA;1081;6608;9518;10031;5744;23;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;72;10;excelling;6;achieving;12;12;26;25;9,28571428571429;excelling;24,0;excelling;complete;5;6596;6;beginning;4;10;beginning;complete;6,2;6,8;6,5;6,5;26,0;excelling;complete;1;1;1;0;3;6;progressing;complete;66,0000000000000;progressing;complete
25;JEAN PIAGET;boy;10;NA;13;15;13;13;110;20;38;3;2;1;3;7;1;3;8;2;4;3;2;3;4;3;2;5;4;5;4;5;4;6;12,68333333333333;9,7500000000000;9,48333333333333;7,70000000000000;10,68333333333333;NA;NA;8289;12736;15145;14577;9496;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;38;7;achieving;9;excelling;12;14;25;27;9,64285714285714;excelling;24,0;excelling;complete;5;12049;17;achieving;5;22;progressing;complete;7,5;4,8;7,0;6,5;25,8;achieving;complete;1;1;1;0;6;9;excelling;complete;80,8000000000000;excelling;complete
26;JEAN PIAGET;girl;11;NA;12;18;10;14;34;20;20;2;2;1;3;1;7;3;8;2;4;3;2;3;3;3;1;4;5;4;1;1;2;1;13,88333333333333;10,0833333333333;9,70000000000000;14,51666666666667;14,25000000000000;NA;NA;3798;6673;8172;2772;3749;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;20;4;progressing;2;progressing;9;13;21;23;8,21428571428572;achieving;9,0;beginning;complete;5;5033;4;beginning;0;4;beginning;complete;7,5;4,9;6,5;2,0;20,9;progressing;complete;0;1;1;0;6;8;achieving;complete;41,9000000000000;beginning;complete
27;JEAN PIAGET;boy;10;NA;7;23;8;17;44;20;58;4;4;3;3;1;7;3;8;2;4;2;2;3;2;3;2;4;3;4;3;3;4;4;12,21666666666667;11,2833333333333;9,60000000000000;9,75000000000000;22,95000000000000;NA;NA;4262;9667;12641;9767;902;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;58;10;excelling;3;progressing;5;10;12;18;6,42857142857143;progressing;19,5;progressing;complete;4;9084;11;progressing;3;14;progressing;complete;6,2;5,4;5,5;5,0;22,1;progressing;complete;0;0;0;0;6;6;progressing;complete;61,6000000000000;progressing;complete
28;JEAN PIAGET;girl;10;NA;11;15;14;14;129;20;53;3;2;4;3;1;7;3;8;2;4;3;2;3;2;3;2;4;5;4;4;3;4;4;11,11666666666667;10,6000000000000;8,78333333333333;16,35000000000000;12,88333333333333;NA;NA;13883;11249;13220;5249;12993;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;53;10;excelling;10;excelling;12;13;23;27;9,64285714285714;excelling;30,0;excelling;complete;5;11319;15;progressing;3;18;progressing;complete;7,5;5,4;6,5;5,5;24,9;excelling;complete;1;1;0;0;6;8;achieving;complete;80,9000000000000;excelling;complete
29;JEAN PIAGET;boy;10;NA;14;14;14;13;100;20;60;3;4;1;3;1;7;3;8;2;4;3;1;3;1;3;2;5;5;5;4;5;5;7;15,03333333333333;10,2000000000000;15,45000000000000;21,78333333333333;12,30000000000000;NA;NA;4235;10134;6245;1379;3127;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;60;10;excelling;9;achieving;13;14;27;28;10,00000000000000;excelling;29,0;excelling;complete;5;5024;4;beginning;5;9;progressing;complete;7,5;6,8;7,5;7,0;28,8;excelling;complete;1;0;1;0;6;8;achieving;complete;74,8000000000000;achieving;complete
30;JEAN PIAGET;boy;10;NA;12;17;14;16;14;20;45;3;4;1;4;1;7;3;8;2;4;3;2;4;1;4;1;5;5;5;5;5;5;7;14,46666666666667;22,1833333333333;10,46666666666667;13,05000000000000;24,00000000000000;NA;NA;8291;2411;12197;3596;0;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;45;9;excelling;0;beginning;10;11;22;25;8,92857142857143;excelling;13,5;beginning;complete;4;6624;6;beginning;5;11;progressing;complete;6,1;6,8;7,5;7,5;27,9;excelling;complete;1;0;1;1;6;9;excelling;complete;61,4000000000000;progressing;complete
31;JEAN PIAGET;boy;11;NA;12;14;13;16;73;20;50;3;2;1;3;1;7;3;8;2;4;4;1;3;4;3;1;4;5;5;4;3;4;4;13,21666666666667;11,8833333333333;10,85000000000000;17,78333333333333;24,00000000000000;NA;NA;9732;8706;8597;6778;0;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;50;10;excelling;6;progressing;13;11;25;24;8,92857142857143;achieving;24,0;excelling;complete;4;8453;9;progressing;3;12;progressing;complete;6,8;6,2;7,0;5,5;25,5;achieving;complete;1;1;1;0;6;9;excelling;complete;70,5000000000000;achieving;complete
32;JEAN PIAGET;girl;12;NA;14;15;14;13;88;20;48;1;3;4;4;1;7;3;8;2;4;3;1;3;1;3;2;5;5;5;5;4;5;7;10,63333333333333;10,8166666666667;9,11666666666667;19,15000000000000;12,56666666666667;NA;NA;9291;12841;14541;1551;10269;NA;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;48;9;excelling;7;achieving;12;14;26;28;10,00000000000000;excelling;26,0;excelling;complete;5;9699;12;progressing;5;17;progressing;complete;7,5;6,8;7,5;7,0;28,8;excelling;complete;0;0;0;1;6;7;progressing;complete;78,8000000000000;excelling;complete
37;SAINTE COLOMBE;boy;11;NA;13;17;13;15;480;20;68;3;2;1;4;7;1;3;8;2;4;4;2;3;2;3;2;5;5;5;4;5;5;1;13,05000000000000;11,5166666666667;8,25000000000000;8,45000000000000;12,08333333333333;14,4000000000000;NA;6588;9042;10135;14310;6234;9300;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;68;10;excelling;10;excelling;10;12;23;25;8,92857142857143;achieving;30,0;excelling;complete;6;9268;11;progressing;0;11;progressing;complete;6,8;5,4;7,5;7,0;26,7;excelling;complete;1;1;1;1;6;10;excelling;complete;77,7000000000000;excelling;complete
38;SAINTE COLOMBE;girl;10;NA;13;17;12;19;70;20;37;2;2;1;3;7;1;3;8;2;4;3;2;3;1;3;1;5;5;5;5;5;5;5;12,81666666666667;11,5166666666667;12,76666666666667;10,23333333333333;8,93333333333333;15,3833333333333;NA;6809;9895;7356;6787;6904;2001;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;37;7;excelling;6;achieving;10;8;23;20;8,21428571428572;achieving;19,5;achieving;complete;6;6625;6;beginning;4;10;beginning;complete;7,5;6,8;7,5;7,5;29,3;excelling;complete;0;1;1;0;6;8;achieving;complete;66,8000000000000;progressing;complete
39;SAINTE COLOMBE;boy;10;NA;11;22;13;19;190;20;25;3;2;1;3;1;8;3;7;2;4;3;2;3;1;3;1;5;5;5;4;5;5;7;11,86666666666667;10,7333333333333;10,46666666666667;8,30000000000000;10,16666666666667;13,9000000000000;NA;7808;10766;8083;16074;7522;7028;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;25;5;progressing;10;excelling;5;8;16;21;7,50000000000000;progressing;22,5;achieving;complete;6;9547;12;progressing;5;17;progressing;complete;7,5;6,8;7,5;7,0;28,8;excelling;complete;1;1;1;0;4;7;progressing;complete;75,3000000000000;achieving;complete
40;SAINTE COLOMBE;girl;10;NA;11;23;10;20;80;20;23;3;2;1;3;1;7;3;8;2;4;4;2;4;2;2;1;4;3;5;3;3;4;4;12,08333333333333;10,5833333333333;14,85000000000000;18,93333333333333;13,90000000000000;22,8666666666667;NA;7365;7476;3209;1688;3326;558;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;23;4;achieving;7;achieving;5;7;16;17;6,07142857142857;progressing;16,5;progressing;complete;5;4613;3;beginning;3;6;beginning;complete;4,8;6,1;6,0;5,0;21,9;progressing;complete;1;1;1;0;6;9;excelling;complete;53,4000000000000;progressing;complete
41;SAINTE COLOMBE;girl;10;NA;11;20;11;20;60;20;19;3;2;1;3;7;4;3;8;2;1;3;2;3;1;3;1;4;5;3;4;3;5;1;11,10000000000000;10,6166666666667;10,75000000000000;11,88333333333333;10,50000000000000;12,7666666666667;NA;8380;6833;6236;4768;4550;3330;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;19;3;progressing;5;progressing;7;7;18;18;6,42857142857143;progressing;12,0;beginning;complete;6;5683;4;beginning;0;4;beginning;complete;7,5;6,8;6,0;6,0;26,3;excelling;complete;1;1;1;0;4;7;progressing;complete;49,3000000000000;beginning;complete
42;SAINTE COLOMBE;girl;10;NA;13;17;11;20;185;20;44;3;2;1;4;1;7;3;8;2;4;3;1;3;1;3;1;5;5;5;4;3;5;5;12,83333333333333;10,4833333333333;13,36666666666667;12,76666666666667;15,98333333333333;23,0666666666667;NA;9051;9756;7297;6938;2841;148;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;44;8;excelling;10;excelling;10;7;23;18;8,21428571428572;achieving;27,0;excelling;complete;5;7177;7;beginning;4;11;progressing;complete;7,5;7,5;7,5;6,0;28,5;excelling;complete;1;1;1;1;6;10;excelling;complete;76,5000000000000;excelling;complete
43;SAINTE COLOMBE;girl;10;NA;9;16;10;15;440;20;19;3;2;2;4;7;1;3;8;2;4;3;1;3;1;3;2;3;3;5;4;3;3;3;10,91666666666667;14,3666666666667;9,23333333333333;15,66666666666667;12,28333333333333;14,8833333333333;NA;4027;6715;8257;2512;4339;4462;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;19;3;progressing;10;excelling;11;12;20;22;7,85714285714286;progressing;19,5;achieving;complete;6;5052;4;beginning;2;6;beginning;complete;7,5;6,8;5,5;5,0;24,8;achieving;complete;1;1;0;1;6;9;excelling;complete;59,3000000000000;progressing;complete
44;SAINTE COLOMBE;boy;10;NA;13;18;10;16;140;20;29;3;2;1;3;1;7;3;8;2;4;4;1;3;2;3;1;5;4;5;5;4;4;7;11,58333333333333;10,7166666666667;9,65000000000000;9,55000000000000;12,83333333333333;11,7333333333333;NA;4600;12103;11959;12963;15131;3855;NA;06:00;06:00;06:00;06:00;06:00;06:00;06:00;23:00;23:00;23:00;23:00;23:00;23:00;23:00;29;5;achieving;10;excelling;9;11;22;21;7,85714285714286;progressing;22,5;achieving;complete;6;10102;13;progressing;5;18;progressing;complete;6,8;6,8;7,0;6,5;27,1;excelling;complete;1;1;1;0;6;9;excelling;complete;76,6000000000000;excelling;complete
